index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4824,,Watergraafsmeer,52.352,4.92119,Private room,166,2,6,1.84,6,349,6,holland,"[{""leisure"": ""garden""}]"
4827,,Oostelijk Havengebied - Indische Buurt,52.36443,4.93467,Entire home/apt,131,2,5,1.06,1,11,5,holland,"[{""leisure"": ""garden""}, {""name"": ""The Meets"", ""amenity"": ""restaurant"", ""cuisine"": ""regional""}, {""name"": ""Café Insulinde"", ""amenity"": ""pub""}]"
4829,,Bijlmer-Oost,52.32806,4.97717,Entire home/apt,60,3,0,,1,2,0,holland,"[{""name"": ""Bijlmerweide"", ""leisure"": ""park""}, {""leisure"": ""garden""}]"
4836,,Bos en Lommer,52.37635,4.86062,Entire home/apt,99,1,0,,1,0,0,holland,"[{""leisure"": ""garden""}]"
4838,,De Pijp - Rivierenbuurt,52.34487,4.89883,Entire home/apt,136,2,4,1.28,1,3,4,holland,"[{""leisure"": ""garden""}]"
4839,,Westerpark,52.39448,4.87636,Entire home/apt,114,3,18,6.14,9,290,18,holland,"[{""amenity"": ""public_bookcase""}]"
4840,,Westerpark,52.39403,4.87741,Entire home/apt,126,3,36,4.89,9,297,36,holland,"[{""amenity"": ""car_sharing""}, {""leisure"": ""garden""}]"
4841,,Westerpark,52.37661,4.87386,Entire home/apt,300,2,0,,1,0,0,holland,"[{""leisure"": ""garden""}, {""name"": ""Apotheek Frederik Hendrik"", ""amenity"": ""pharmacy""}, {""name"": ""Matijn Roest"", ""amenity"": ""doctors"", ""healthcare"": ""doctor""}, {""name"": ""Kappeyne van de Coppello"", ""amenity"": ""doctors"", ""healthcare"": ""doctor""}, {""tourism"": ""artwork""}]"
4873,,Oud-Noord,52.398655,4.905442,Entire home/apt,500,3,0,,6,59,0,holland,"[{""name"": ""Papaverplantsoen"", ""leisure"": ""park""}, {""name"": ""Aparthotel North"", ""tourism"": ""apartment""}]"
4875,,De Baarsjes - Oud-West,52.35961,4.85846,Entire home/apt,200,5,1,0.19,1,0,1,holland,"[{""amenity"": ""public_bookcase""}, {""leisure"": ""pitch"", ""sport"": ""soccer""}, {""leisure"": ""pitch"", ""sport"": ""chess""}, {""name"": ""J.J. Cremerplein"", ""leisure"": ""playground""}, {""leisure"": ""picnic_table""}, {""name"": ""Buurtcentrum Cremerplein"", ""amenity"": ""community_centre""}, {""leisure"": ""pitch"", ""sport"": ""basketball""}, {""leisure"": ""playground""}, {""name"": ""Buurthuis Cremerplein"", ""amenity"": ""community_centre""}, {""tourism"": ""picnic_site""}]"
